name1,name2,whole_adress,street2,phone,intake1,intake2,intake1a,intake2a,service_code_info,latitude,longitude
SpectraCare Health Systems,Henry County Clinic,219 Dothan Road Abbeville AL 36310,NA,800-951-4357,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE * WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SMHA SWFS * SS * TAY SE GL VET ADM MF CJ CO HV TRMA ALZ PTSD SED SMI * STU * TCC * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT DEC FPSY ICM IMR PRS SH CM SPS ES,NA,NA
SpectraCare Health Systems,Henry County Day Treatment,1242 US Highway 431 South Abbeville AL 36310,NA,800-951-4357,334-951-4357,NA,NA,NA,MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE * PEON PEOFF WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SEF SF SMHA * SS * CO SMI * ADLT SNR YAD * AH * VPPD * ACT COOT DEC FPSY ICM IMR PRS SH VRS CM SPS ES,NA,NA
South Central Alabama CMHC,NA,19815 Bay Branch Road Andalusia AL 36420,NA,334-222-2523,877-530-0002,NA,NA,NA,MH SUMH * OP * CMHC * FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE AIM * CIT PEON PEOFF WI * PVTN * MC MD MI PI SF SMHA SWFS VAF * PA SS * SE SED SMI * TBS MST LABT * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY PRS SH CM SPS,NA,NA
South Central Alabama MH Center,Montezuma Complex,205 Academy Drive Andalusia AL 36420,NA,334-428-5050,NA,NA,NA,NA,MH SUMH * PHDT RES * RTCA * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE AIM * PVTN * CMHG MC MD PI SF SMHA * PA SS * SED SMI * TBS MST LABT * PEER * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY PRS CM IPC SPS,31.31112026153636,-86.44719611532707
Northeast Alabama Regional Med Ctr,Behavioral Health,400 East 10th Street Anniston AL 36207,NA,256-235-5121,256-235-5082,256-235-5482,NA,NA,SA MH SUMH * HI * IPSY * CHLOR FLUPH HALOP ARIPI ASENA CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IPT AIM * PEON * PVTN * MC MD MI PI SF SI SMHA VAF * SE ALZ * STU * MST LABT * TCC * SMON * ADLT SNR YAD * AH * VAPN * CM SPS ES,33.6553544,-85.823759725
SpectraCare Health Systems,Cottonwood Specialized Care,1539 Sweetie Smith Road Ashford AL 36312,NA,334-691-8030,800-951-4357,NA,NA,NA,MH SUMH * RES * RTCA * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE * PEON * PVTN * CLF CMHG CSBG MC MD MI PI SCJJ SEF SF SI SMHA SWFS * SS * SE GL VET ADM MF CJ CO HV TRMA PTSD SMI * TCC * ADLT SNR YAD * AH * VPPD * COOT DEC FPSY LAD PRS CM IPC SPS,NA,NA
MHCNCA Inc,Athens Limestone Counseling Center,1307 East Elm Street Athens AL 35611,NA,256-232-3661,256-355-5904,800-365-6008,NA,NA,MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ANTPYCH * CBT CFT GT IPT TELE AIM * CIT PEON * PVTN * CLF CMHG CSBG MC MD OSF PI SF SI SMHA * CO SED SMI * STU * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY PRS CM,34.8192663,-86.950964612526
Birmingham VAMC,Bessemer Clinic,975 9th Avenue SW Bessemer AL 35022,Suite 400,205-428-3495,205-428-3495 x7931,205-428-3495 x7934,NA,NA,SA MH SUMH * OP * VAHC * CHLOR FLUPH HALOP LOXAP PERPH THIOT THIOR TRIFL ARIPI CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT GT IDD IPT TELE * CIT WI * FED VAMC * MC MI PI VAF * VET * STU * HS PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * COOT DEC FPSY ICM LAD SEMP SH CM IPC SPS,33.36670858720991,-86.99831703630838
Birmingham VAMC,Mental Hygiene (116A),700 South 19th Street Birmingham AL 35233,NA,205-933-8101,205-933-8101 x5508,NA,NA,NA,SA MH SUMH * OP * VAHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * FED VAMC * MC MI PI VAF * GL VET MF CJ CO TRMA TBI PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * HS PEER * TCC * SMON * ADLT SNR YAD * AH SP FX * F17 * VAPN * ACT CDM COOT DEC FPSY ICM IMR LAD SEMP SH VRS CM IPC SPS ES,33.50505,-86.80129
Eastlake Group Homes,NA,7744 1st Avenue South Birmingham AL 35206,NA,205-836-6538,205-595-4555,NA,NA,NA,MH * RES * RTCA * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * GT IPT TELE AIM * PVTN * CMHG MC MD SF * SMI * TBS MST LABT * HS PEER * ADLT SNR YAD * VAPN * CDM DEC FPSY IMR,33.560998849611586,-86.72613989498095
Eastside CMHC,NA,129 East Park Circle Birmingham AL 35235,NA,205-836-7283,NA,NA,NA,NA,MH * OP PHDT * CMHC * HALOP ARIPI CLOZA OLANZ RISPE ANTPYCH * CFT GT IPT TELE * CIT * PVTN * CLF CMHG MC MD OSF PI SF SI SMHA * SS * TAY SE CO SED SMI * STU * TBS * PEER * TCC * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT FPSY IMR PRS,33.5844172,-86.6705642
Glenwood Inc,Main Campus,150 Glenwood Lane Birmingham AL 35242,NA,205-969-2880,NA,NA,NA,NA,MH SUMH * OP PHDT RES * MSMH * CHLOR FLUPH HALOP LOXAP ARIPI OLANZ QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE * PEON * PVTN * MC MD MI OSF PI SEF SF SI SMHA SWFS * SS * TAY TRMA SED * MST LABT * SMON * ADLT CHLD SNR YAD * AH * VAPN * DEC FPSY PRS SEMP VRS ES,33.48105837637474,-86.6633488305703
Princeton Baptist Medical Center,NA,701 Princeton Avenue SW Birmingham AL 35211,NA,205-783-3650,NA,NA,NA,NA,MH * HI * IPSY * HALOP CLOZA LURAS OLANZ RISPE ZIPRA NRT NSC ANTPYCH * AT CBT GT IPT TELE * WI * PVTP * CLF CMHG CSBG ITU MC MD MI OSF PI SF SI SMHA VAF * SE ALZ * STU * MST LABT * TCC * SMON * SNR * AH * VAPN * CDM COOT DEC FPSY ICM IMR PRS CM IPC SPS ES,33.4974069,-86.84793758297522
Rehabilitation Day Program,Jasper House,2112 Avenue Birmingham AL 35218,Suite H,205-324-9822,NA,NA,NA,NA,MH SUMH * RES * RTCA * HALOP CLOZA OLANZ QUETI RISPE ANTPYCH * AT CBT GT * CIT * PVTN * MC MD SF * HV SMI * STDT TBS * TCC * ADLT SNR YAD * AH * VPPD * PRS SH CM,33.8302133944482,-87.27334386342737
UAB Hospital,Center for Psychiatric Medicine,619 19th Street South Birmingham AL 35249,NA,205-975-2710,205-934-7008,NA,NA,NA,SA MH SUMH * HI OP * PSY * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH TRIFL ARIPI ASENA CLOZA LURAS OLANZ PALIP QUETI NRT NSC ANTPYCH * AT CBT CFT ECT EMDR GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * TAY SE GL CO TRMA ALZ PED PTSD SED SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * ADLT CHLD SNR YAD * AH SP * VPPD * ACT CDM COOT DEC FPSY ICM IMR PRS SEMP CM IPC SPS,33.506101102040816,-86.80178236734695
West Alabama Mental Health Center,Choctaw County Office,401 Rogers Street Butler AL 36904,NA,205-459-2612,800-239-2901,334-289-2410,NA,NA,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT WI * PVTN * CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * HS * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY ICM SEMP SH CM SPS,32.083897,-88.216348
